District code,State,District,Longitude,Latitude,Population,Households_with_Internet,sex_ratio,literacy_rate
427,Madhya Pradesh,Sagar,78.71940357771273,23.800318709677374,2378458,4546,89.0,65.0
429,Madhya Pradesh,Satna,80.75547048710598,24.62777621776502,2228935,3754,93.0,62.0
445,Madhya Pradesh,Sehore,77.06780202883085,22.9297199679658,1311332,1566,92.0,60.0
456,Madhya Pradesh,Seoni,79.66053863928111,22.33230487804874,1379131,1182,98.0,63.0
460,Madhya Pradesh,Shahdol,81.4596831828442,23.44859864559819,1066063,1733,97.0,57.0
436,Madhya Pradesh,Shajapur,76.33555181268885,23.566620317220547,1512681,1382,94.0,59.0
418,Madhya Pradesh,Sheopur,77.16911116838484,25.78014810996563,687861,273,90.0,48.0
423,Madhya Pradesh,Shivpuri,77.74861600810549,25.37802451874367,1726050,1852,88.0,52.0
462,Madhya Pradesh,Sidhi,82.1053783359498,24.17547189952905,1127033,837,96.0,53.0
424,Madhya Pradesh,Tikamgarh,78.89357064846428,25.14099852104666,1445166,1090,90.0,52.0
435,Madhya Pradesh,Ujjain,75.80383717647058,23.319288862745065,1986864,7501,96.0,62.0
431,Madhya Pradesh,Umaria,80.90879477477475,23.59601063063061,644758,839,95.0,55.0
443,Madhya Pradesh,Vidisha,77.9013507604563,23.82838307984792,1458875,1926,90.0,59.0
501,Maharashtra,Akola,77.12122320359276,20.746310479041902,1813906,6163,95.0,78.0
503,Maharashtra,Amravati,77.67583503184723,21.16520991810736,2888445,9438,95.0,78.0
506,Maharashtra,Bhandara,80.10950199637024,21.211792649727748,1200334,2932,98.0,75.0
523,Maharashtra,Bid,75.69319706477731,18.952353340080982,2585049,5614,92.0,66.0
500,Maharashtra,Buldana,76.39017880364096,20.56680611183355,2586258,4767,93.0,73.0
509,Maharashtra,Chandrapur,79.31556380471388,20.095609090909075,2204307,8239,96.0,72.0
498,Maharashtra,Dhule,74.58719071837263,21.274018690400517,2050862,6065,95.0,63.0
507,Maharashtra,Gondiya,80.17522698598128,21.225008411214997,1322507,2866,100.0,76.0
512,Maharashtra,Hingoli,77.09239412780653,19.59525302245251,1177345,1221,94.0,67.0
499,Maharashtra,Jalgaon,75.55140421810695,20.8828943415638,4229917,14297,92.0,68.0
514,Maharashtra,Jalna,75.98473607242339,19.984612534818933,1959046,3791,94.0,61.0
530,Maharashtra,Kolhapur,74.12897150793648,16.44881301587301,3876001,22269,96.0,73.0
524,Maharashtra,Latur,76.75812607802874,18.348687268993856,2454196,6217,93.0,67.0
505,Maharashtra,Nagpur,79.02166176470584,21.196556862745105,4653570,57964,95.0,79.0
511,Maharashtra,Nanded,77.6829048951049,19.209316983017,3361292,7548,94.0,65.0
497,Maharashtra,Nandurbar,74.32638757443429,21.523175625248147,1648295,2579,98.0,55.0
516,Maharashtra,Nashik,74.03824168316828,20.266912871287143,6107187,45039,93.0,71.0
525,Maharashtra,Osmanabad,75.99495575313809,18.19459456066944,1657576,3209,92.0,69.0
513,Maharashtra,Parbhani,76.70163338870431,19.31032425249168,1836086,3982,95.0,63.0
521,Maharashtra,Pune,74.12922881632647,18.51696171428573,9429408,235018,91.0,76.0
528,Maharashtra,Ratnagiri,73.25725893866404,17.210195070127703,1615069,7752,112.0,74.0
531,Maharashtra,Sangli,74.70713822937628,17.154930181086502,2822143,13212,97.0,73.0
527,Maharashtra,Satara,74.18052064102558,17.6737908974359,3003741,14093,99.0,74.0
529,Maharashtra,Sindhudurg,73.51329008172343,16.170948049777163,849651,3517,104.0,78.0
526,Maharashtra,Solapur,75.42394823609216,17.837357937584812,4317756,15145,94.0,67.0
517,Maharashtra,Thane,72.79882742564581,19.698767747440264,11060148,256170,89.0,74.0
